subpopbroad,subpopfine,country,subpopulation,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Valencia,Valencia,Spain,West,West,A75657,2012,fall,y,6,6,2821434,2821,3451448,3451,0.8175,7.05E+11,705009743,4.1458,0.0049,1.6977,8/31/12 0:00,11/09/2012 22:00,11.9167,244,255,-1.838,40.85,16.92933,-11.62967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2012,spring,y,6,6,2959742,2960,3549477,3549,0.8339,6.08E+11,608186647,4.2007,0.0052,1.3765,2/26/12 13:00,3/14/12 19:00,17.25,57,74,-14.96567,16.85317,40.82583,-1.8255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2013,fall,y,6,6,2823670,2824,3531257,3531,0.7996,1.12E+12,1120758336,3.4254,0.0062,1.8386,09/09/2013 00:00,9/21/13 22:00,12.9167,252,264,-0.47767,40.22483,17.07167,-12.47017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2013,spring,y,6,6,2922998,2923,3443968,3444,0.8487,7.40E+11,740081663,4.6137,0.0053,1.9362,2/25/13 1:00,3/22/13 23:00,25.9167,56,81,-13.93533,16.732,40.22417,-0.47617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75658,2009,fall,y,1,1,2597272,2597,4410820,4411,0.5888,6.92E+11,691722731,4.0766,0.0066,2.1472,08/09/2009 08:00,08/10/2009 22:00,30.5833,251,281,-3.35467,39.107,15.66267,-2.998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75659,2009,fall,y,6,6,2788616,2789,3372648,3373,0.8268,8.46E+11,846040085,3.4769,0.0055,1.7913,07/09/2009 12:00,9/24/09 22:00,17.4167,250,267,-2.23483,40.686,16.33467,-9.34633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75659,2010,fall,y,6,6,2891524,2892,3478371,3478,0.8313,9.17E+11,916510868,4.1979,0.0064,1.8295,08/09/2010 00:00,9/25/10 22:00,17.9167,251,268,-1.8305,40.8415,15.835,-10.1765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75659,2010,spring,y,6,6,3129245,3129,4408278,4408,0.7099,8.14E+11,813780270,3.6838,0.0059,1.5846,2/28/10 1:00,3/19/10 23:00,19.9167,59,78,-11.35983,13.93467,40.82517,-1.82633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
