id.yr.season,season,start_mig_MANU,end_mig_MANU
Douro_2017_fall,fall,2017-08-28T00:00:00Z,2017-09-09T00:00:00Z
Douro_2018_fall,fall,2018-08-29T00:00:00Z,2018-09-17T00:00:00Z
Douro_2018_spring,spring,2018-02-03T00:00:00Z,2018-02-25T00:00:00Z
Ekhi_2018_fall,fall,,
Elodie_2016_fall,fall,,
Faia_2017_fall,fall,2017-08-23T00:00:00Z,2017-09-05T00:00:00Z
Faia_2018_spring,spring,2018-02-25T00:00:00Z,2018-03-17T00:00:00Z
Gardon_2016_fall,fall,,
Gardon_2017_fall,fall,,
Gardon_2017_spring,spring,,
Gardon_2018_fall,fall,,
Gardon_2018_spring,spring,,
Gurman_2017_fall,fall,,
H36_2018_fall,fall,,
Haydi_2014_fall,fall,2014-09-19T05:00:00Z,2014-10-29T06:00:00Z
Haydi_2015_fall,fall,,
Haydi_2015_spring,spring,,
Huebra_2017_fall,fall,2017-09-20T00:00:00Z,2017-10-06T00:00:00Z
Huebra_2018_fall,fall,2018-09-26T00:00:00Z,2018-10-16T00:00:00Z
Huebra_2018_spring,spring,2018-02-09T00:00:00Z,2018-02-26T00:00:00Z
Igdir_2012_fall,fall,2012-09-20T00:00:00Z,2012-10-11T12:00:00Z
Igdir_2013_fall,fall,2013-09-25T08:00:00Z,2013-10-13T20:00:00Z
Igdir_2013_spring,spring,2013-03-16T12:00:00Z,2013-04-03T17:00:00Z
Igdir_2014_fall,fall,2014-10-06T15:00:00Z,2014-11-03T16:00:00Z
Igdir_2014_spring,spring,2014-03-03T07:00:00Z,2014-03-22T13:00:00Z
Iliaz_2012_fall,fall,2012-09-19T11:00:00Z,2012-10-16T14:00:00Z
Iliaz_2016_fall,fall,,
Iliaz_2016_spring,spring,2016-03-17T00:00:00Z,2016-05-09T00:00:00Z
Iliaz_2017_fall,fall,,
Iliaz_2017_spring,spring,,
Iliaz_2018_fall,fall,,
Iliaz_2018_spring,spring,,
