ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
A75657_2011_fall,2770128.91664644,3187978.04035385,0.868929735895849,778647978263.16,3.75254318662768,0.000567018825804224,6.95863506092322e-08,2011-09-05,2011-09-16,11,248,259
A75657_2011_spring,2661087.41282665,2923770.05468575,0.910156189800864,934833707513.885,3.84645983582006,0.000226926082814075,2.93972729291306e-07,2011-02-28 01:00:00,2011-03-21 01:00:00,21,59,80
A75657_2012_fall,2802610.84658698,3056955.81682837,0.916797956698872,739711977023.758,4.0507827332512,0.000739548493158331,2.20700052790102e-08,2012-08-31,2012-09-11,11,244,255
A75657_2012_spring,2843411.95961955,3216240.47678079,0.884079402689934,716453114770.53,3.96216683567839,0.000389242058225028,3.0746539822914e-08,2012-02-26 13:00:00,2012-03-14 03:00:00,17,57,74
A75657_2013_fall,2847807.41550184,3274620.62575831,0.869660257161046,1130735175216.9,3.28734573812248,0.000124446400584671,4.8364180066723e-09,2013-09-09,2013-09-21,12,252,264
A75657_2013_spring,2875639.68915381,3072566.16516118,0.935908141461603,793557561635.164,4.50716448026381,0.00104387420219693,6.35936858229402e-07,2013-02-25 01:00:00,2013-03-22 07:00:00,25,56,81
A75658_2009_fall,2641350.90863755,3398914.01430322,0.777116131070776,741738956900.554,3.26529219989576,0.00082028600473439,5.91378828011398e-07,2009-09-08 08:00:00,2009-10-08 06:00:00,30,251,281
A75659_2009_fall,2756899.25403458,3152594.91800036,0.874485725487129,914198008303.394,3.33963053547682,0.000333209853013363,2.28095149337338e-07,2009-09-07 12:00:00,2009-09-24 00:00:00,17,250,267
A75659_2010_fall,2853102.92354487,3179730.84259445,0.897278123458063,896300481480.932,3.98638220877512,0.000783552049101591,8.12285241867657e-08,2010-09-08,2010-09-25,17,251,268
A75659_2010_spring,3037123.26908345,4030457.95249664,0.753542973250006,789323018809.712,3.55651643842876,5.54911481033227e-05,2.55272613526708e-07,2010-02-28 01:00:00,2010-03-19 01:00:00,19,59,78
A75659_2011_spring,2989262.27085943,3265381.38625501,0.915440469968422,960025205934.714,4.30787063588098,0.000566135971667815,6.89496607470309e-09,2011-02-26 01:00:00,2011-03-20 19:00:00,22,57,79
A80419_2008_fall,2776507.34715412,3022275.81728708,0.91868099240738,872476532749.454,3.61715385420433,0.000719800689755708,3.15737032324619e-08,2008-09-19,2008-10-03,14,263,277
A80419_2009_fall,2684450.47829176,2964973.33062348,0.905387731675572,649060838694.833,3.4818358177465,4.47514991206542e-05,2.1460495805774e-09,2009-09-04,2009-09-19,15,247,262
A80419_2009_spring,2919417.30282947,3088119.80676117,0.945370479615998,969172788725.156,4.25812375843939,0.000228534401267148,1.2292097980776e-07,2009-02-16 01:00:00,2009-03-09 01:00:00,21,47,68
A80419_2010_fall,2780981.72980138,3099448.76729818,0.897250426960789,766956206887.022,3.93457792616814,0.00149238576444061,5.83616515011516e-07,2010-09-10 12:00:00,2010-09-28 00:00:00,18,253,271
A80419_2010_spring,3040149.3929852,3401594.78395923,0.893742372642832,827316325757.992,3.99277819825708,0.000342118839171901,7.31452288672756e-09,2010-02-13 01:00:00,2010-03-01 07:00:00,16,44,60
A80419_2011_spring,2952415.66574062,3324692.5218558,0.888026681063613,844045675725.882,3.61489683748994,0.000248342745620147,8.53017409773481e-10,2011-02-18 07:00:00,2011-03-06 01:00:00,16,49,65
A80420_2009_fall,2621761.50088,3311834.73916956,0.791634156702336,820312030223.946,3.37067324949126,0.000966952557471789,3.21600102193852e-07,2009-09-02 02:00:00,2009-09-21 01:00:00,19,245,264
A80420_2010_fall,2704095.56065015,3443134.49796879,0.785358678914628,822909948423.414,2.87333551421206,0.000730749963321752,6.89353445953275e-08,2010-09-08 00:00:00,2010-09-23 01:00:00,15,251,266
A80420_2010_spring,2730282.86182262,3254513.14675604,0.838922056450763,788383422899.049,3.45203806806873,0.000492576967218559,2.0411510809295e-08,2010-02-26 13:00:00,2010-03-16 01:00:00,18,57,75
A80420_2011_fall,2669606.14788951,2935131.75472922,0.909535370461008,789214921368.454,3.23500682467812,0.000768078506745905,2.6483476506654e-09,2011-09-04 02:00:00,2011-09-16 01:00:00,12,247,259
A80420_2011_spring,2616518.62513727,3147518.73514315,0.83129564755975,855420951419.582,3.3659144351554,0.000847873059657299,1.62190844318945e-08,2011-02-25 01:00:00,2011-03-18 01:00:00,21,56,77
