?subpopbroad,subpopfine,country,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Douro,Douro,Portugal,West,Rupis,2018,fall,y,3,5,2926530.388,2926.530388,3895700.214,3895.700214,0.751220635,1.21895E+12,1218946177,4.715,0.0093,1.4791,9/22/18 7:00,10/13/18 20:00,21.54166667,265,286,-6.148583,41.05467,14.71807,-7.599833
Douro,Douro,Portugal,West,Rupis,2018,spring,y,3,5,2704979.294,2704.979294,3090462.877,3090.462877,0.875266716,7.97146E+11,797145558.2,4.0712,0.0055,1.1841,3/19/18 7:00,4/1/18 20:00,13.54166667,78,91,-10.04238,17.31493,41.40453,-6.104816
Bulgaria,Bulgaria,Bulgaria,East,Sanie,2013,fall,y,1,1,3457086.972,3457.086972,6766137.962,6766.137962,0.510939474,1.82282E+12,1822817079,3.7757,0.0068,1.7808,9/18/13 9:00,10/9/13 23:00,21.58333333,261,282,25.87667,41.64283,13.63,16.034
Bulgaria,Bulgaria,Bulgaria,East,Sanie,2015,spring,y,1,3,3638623.212,3638.623212,10805500.27,10805.50027,0.336738061,1.65154E+12,1651544266,5.0718,0.0073,1.5898,5/4/15 0:00,6/18/15 23:00,45.95833333,124,169,17.507,12.58483,40.0925,31.53783
Bulgaria,Bulgaria,Bulgaria,East,Sanie,2016,fall,y,1,4,4250515.117,4250.515117,8920471.524,8920.471524,0.47648996,2.42406E+12,2424058632,4.77,0.0073,1.6662,8/21/16 5:00,9/25/16 22:00,35.70833333,234,269,25.8125,41.86583,12.351,40.5105
MiddleEast,Igdir,Turkey,East,Serhat,2014,fall,y,6,6,4071367.474,4071.367474,4704713.829,4704.713829,0.865380472,1.36317E+12,1363169934,4.1052,0.003,1.1262,9/20/14 1:00,10/8/14 11:00,18.41666667,263,281,45.00526,39.59299,11.43432,40.30329
Bulgaria,Bulgaria,Bulgaria,East,Spartacus,2010,fall,y,1,1,3571484.798,3571.484798,7185384.283,7185.384283,0.497048544,1.60801E+12,1608012780,3.5477,0.0066,2.019,9/13/10 11:00,11/12/10 23:00,60.5,256,316,25.89917,41.64217,12.61133,16.22867
Bulgaria,Bulgaria,Bulgaria,East,Svetlina,2012,fall,y,1,1,4329416.049,4329.416049,9296570.8,9296.5708,0.465700326,1.03893E+12,1038928998,6.3804,0.0081,2.0082,9/7/12 5:00,11/5/12 21:00,59.66666667,251,310,25.86733,41.589,13.43483,43.677
MiddleEast,Igdir,Turkey,East,Tuzluca,2013,fall,y,6,6,3756406.296,3756.406296,8776082.059,8776.082059,0.428027709,1.19736E+12,1197355201,7.0158,0.0105,1.8246,8/23/13 0:00,10/10/13 15:00,48.625,235,283,41.96779,37.90142,11.58788,41.17036
MiddleEast,Igdir,Turkey,East,Tuzluca,2014,fall,y,6,6,4010194.191,4010.194191,5240421.431,5240.421431,0.76524269,1.89863E+12,1898625081,4.411,0.0096,1.6743,9/6/14 0:00,9/26/14 23:00,20.95833333,249,269,42.20319,40.06395,11.78574,41.04264
MiddleEast,Igdir,Turkey,East,Tuzluca,2014,spring,y,6,6,4010903.014,4010.903014,5822089.931,5822.089931,0.688911209,1.11739E+12,1117391634,3.6336,0.0065,1.6514,4/7/14 0:00,4/29/14 22:00,22.91666667,97,119,41.34372,11.6104,39.29114,44.74147
MiddleEast,Igdir,Turkey,East,Tuzluca,2015,fall,y,6,6,4148459.814,4148.459814,6216955.312,6216.955312,0.667281588,2.01636E+12,2016363465,4.1061,0.0102,1.7496,7/30/15 1:00,9/29/15 22:00,61.875,211,272,44.74513,39.29036,10.70606,41.37931
MiddleEast,Igdir,Turkey,East,Tuzluca,2015,spring,y,6,6,4136699.891,4136.699891,6585865.629,6585.865629,0.62811787,1.89764E+12,1897636308,4.0722,0.0103,1.9779,1/28/15 1:00,4/5/15 22:00,67.875,28,95,41.36866,10.78206,39.28922,44.74798
MiddleEast,Igdir,Turkey,East,Tuzluca,2016,spring,y,6,6,3888964.538,3888.964538,6102605.271,6102.605271,0.637262999,1.41313E+12,1413134606,3.6335,0.0101,1.7047,3/14/16 0:00,4/15/16 23:00,32.95833333,74,106,41.32888,11.61981,38.30201,44.97292
Bulgaria,Bulgaria,Bulgaria,East,Volen,2012,fall,y,1,1,3625271.707,3625.271707,5511291.557,5511.291557,0.657789861,1.69207E+12,1692065688,3.5749,0.0071,1.774,9/5/12 7:00,9/26/12 23:00,21.66666667,249,270,27.43617,43.18017,13.69817,26.6745
Bulgaria,Bulgaria,Bulgaria,East,Volen,2014,spring,y,1,3,3877712.021,3877.712021,12713940.32,12713.94032,0.304996871,1.63984E+12,1639835729,7.3475,0.0079,1.9345,4/29/14 5:00,6/26/14 23:00,58.75,119,177,27.4055,10.2445,40.2055,34.239
Gipuzkoa,Gipuzkoa,Spain,West,Zuri,2017,fall,y,1,1,3140460.794,3140.460794,3866870.688,3866.870688,0.812145284,1.23744E+12,1237436548,4.2494,0.0089,1.5739,9/8/17 6:00,9/22/17 23:00,14.70833333,251,265,-2.690003,42.80599,16.02409,-12.99847
