?subpopbroad,subpopfine,country,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Valencia,Valencia,Spain,West,A80419,2010,spring,y,6,6,3091698.025,3091.698025,3596896.031,3596.896031,0.859546119,8.97134E+11,897134280.2,4.1086,0.0051,1.2054,2/13/10 1:00,3/1/10 23:00,16.91666667,44,60,-9.4615,13.784,40.82517,-1.82633
Valencia,Valencia,Spain,West,A80419,2011,spring,y,6,6,3083765.654,3083.765654,3672451.267,3672.451267,0.839702267,8.37106E+11,837106325.3,3.5788,0.0057,1.8638,2/18/11 7:00,3/6/11 23:00,16.66666667,49,65,-9.34517,13.83033,40.82517,-1.82633
Valencia,Valencia,Spain,West,A80420,2009,fall,y,6,6,2678183.106,2678.183106,3701403.046,3701.403046,0.723558897,7.44025E+11,744025194.3,3.5687,0.0065,1.5258,9/2/09 2:00,9/21/09 23:00,19.875,245,264,-2.21283,40.77833,16.79967,1.0895
Valencia,Valencia,Spain,West,A80420,2010,fall,y,6,6,2779831.526,2779.831526,3864580.333,3864.580333,0.719310064,6.96853E+11,696852702.3,3.1301,0.0051,1.7819,9/8/10 0:00,9/23/10 23:00,15.95833333,251,266,-1.83783,40.85,16.08833,2.4955
Valencia,Valencia,Spain,West,A80420,2010,spring,y,6,6,2864986.872,2864.986872,3577557.037,3577.557037,0.800822137,7.73371E+11,773371478.8,3.5591,0.0054,1.3746,2/26/10 13:00,3/16/10 17:00,18.16666667,57,75,-5.526,14.97667,40.68383,-2.37517
Valencia,Valencia,Spain,West,A80420,2011,fall,y,6,6,2693970.727,2693.970727,3230061.071,3230.061071,0.834030895,7.42229E+11,742229086,3.3602,0.0046,1.2885,9/4/11 2:00,9/16/11 23:00,12.875,247,259,-2.218,40.76933,16.69067,1.44717
Valencia,Valencia,Spain,West,A80420,2011,spring,y,6,6,2786084.186,2786.084186,3491590.557,3491.590557,0.797941265,9.06404E+11,906403661.6,3.4589,0.0071,1.8386,2/25/11 1:00,3/18/11 21:00,21.83333333,56,77,-5.44183,15.752,40.731,-2.165
Valencia,Valencia,Spain,West,A80420,2012,fall,y,6,6,2462161.084,2462.161084,2776471.727,2776.471727,0.886794942,5.2968E+11,529680300.5,3.9323,0.0049,1.4372,9/2/12 2:00,9/16/12 23:00,14.875,246,260,-4.39933,38.62533,17.22983,2.3455
Valencia,Valencia,Spain,West,A80420,2012,spring,y,6,6,2896821.188,2896.821188,4040035.528,4040.035528,0.717028642,9.72275E+11,972275225.8,3.2795,0.0052,1.9246,2/17/12 1:00,3/9/12 23:00,21.91666667,48,69,-5.11817,14.85583,40.8415,-1.83033
Valencia,Valencia,Spain,West,A80420,2013,spring,y,6,6,2892783.077,2892.783077,4562521.908,4562.521908,0.634031602,1.10202E+12,1102024978,3.8291,0.0062,1.9816,2/10/13 1:00,3/15/13 23:00,33.91666667,41,74,-5.10433,14.87617,40.82967,-1.86283
Valencia,Valencia,Spain,West,A89730,2009,fall,y,6,6,2523174.565,2523.174565,2676507.762,2676.507762,0.942711469,7.44779E+11,744778774.2,4.338,0.0015,0.0261,8/21/09 2:00,9/1/09 2:00,11,233,244,-3.93283,39.4265,17.03683,-8.46417
Valencia,Valencia,Spain,West,A89730,2010,fall,y,6,6,2349726.134,2349.726134,2565691.569,2565.691569,0.915825645,7.29023E+11,729023448,4.5887,0.0023,0.1529,8/14/10 2:00,8/30/10 2:00,16,226,242,-4.41983,38.641,18.20917,-10.62817
