country,subpopulation,id.year.season,ID,year,season,full_migration,agedeploy,agemigr,totaldistkm,cumulativedistkm,straightness,durationdays,julian_start,julian_end,speed
France,West,Gardon_2016_fall,Gardon,2016,fall,y,6,6,3107.25767427107,3353.03001057267,0.926701420647404,14,253,267,239.502143612334
France,West,Gardon_2017_fall,Gardon,2017,fall,y,6,6,3329.53315429411,3529.85849658837,0.943248336303602,16,251,267,220.616156036773
France,West,Gardon_2017_spring,Gardon,2017,spring,y,6,6,3332.83847932389,4053.85936040106,0.822139641024488,31,59,90,130.769656787131
France,West,Gardon_2018_fall,Gardon,2018,fall,y,6,6,3368.08760272616,3715.52949484045,0.906489265501252,17,252,269,218.560558520027
France,West,Gardon_2018_spring,Gardon,2018,spring,y,6,6,3246.90922115341,4111.56244236816,0.789702033391293,23,59,82,178.76358445079
Dagestan,Middle_East,Gurman_2017_fall,Gurman,2017,fall,y,1,1,4058.36729373653,4674.66573634038,0.868162029679939,25,267,292,186.986629453615
Israel,Middle_East,H36_2018_fall,H36,2018,fall,y,1,1,2635.33410708298,3607.43658830219,0.730528186033418,24,241,265,150.309857845925
Turkey,Middle_East,Haydi_2014_fall,Haydi,2014,fall,y,3,3,5452.34602588959,6574.62816112084,0.829301048252754,40,262,302,164.365704028021
Turkey,Middle_East,Haydi_2015_fall,Haydi,2015,fall,y,3,4,5290.37194445239,6226.4976524878,0.849654531281902,24,263,287,259.437402186992
Turkey,Middle_East,Haydi_2015_spring,Haydi,2015,spring,y,3,4,4909.99354862121,6309.93425035633,0.778137038170237,31,101,132,203.546266140527
Spain,West,Huebra_2017_fall,Huebra,2017,fall,y,6,6,2688.3225542259,2925.96473574727,0.918781597529856,16,263,279,182.872795984204
Spain,West,Huebra_2018_fall,Huebra,2018,fall,y,6,6,2691.631507511,2973.29790759746,0.905268019270206,20,269,289,148.664895379873
Spain,West,Huebra_2018_spring,Huebra,2018,spring,y,6,6,2472.28868737166,3342.38043149133,0.739679021597357,17,40,57,196.610613617137
Turkey,Middle_East,Igdir_2012_fall,Igdir,2012,fall,y,6,6,5062.35815443956,5358.19746200777,0.944787531690301,21,264,285,255.152260095608
Turkey,Middle_East,Igdir_2013_fall,Igdir,2013,fall,y,6,6,4877.09921535179,5143.76776917339,0.948156960852754,18,268,286,285.764876065188
Turkey,Middle_East,Igdir_2013_spring,Igdir,2013,spring,y,6,6,5041.22920420615,5359.91207484143,0.940543265227963,18,75,93,297.772893046746
Turkey,Middle_East,Igdir_2014_fall,Igdir,2014,fall,y,6,6,5008.84808533213,5519.60502368415,0.907464947915583,28,279,307,197.128750845862
Turkey,Middle_East,Igdir_2014_spring,Igdir,2014,spring,y,6,6,4882.85670355746,5187.31440243298,0.941307259353178,19,62,81,273.016547496473
Bulgaria,Balkans,Iliaz_2012_fall,Iliaz,2012,fall,y,1,1,3345.84600209712,4946.58782626763,0.676394743125723,27,263,290,183.206956528431
Bulgaria,Balkans,Iliaz_2016_fall,Iliaz,2016,fall,y,1,5,3345.22583854991,7641.69763496062,0.437759513441826,52,239,291,146.955723749243
Bulgaria,Balkans,Iliaz_2016_spring,Iliaz,2016,spring,y,1,5,3582.28118657843,7050.42740271683,0.508094188048518,53,77,130,133.026932126733
Bulgaria,Balkans,Iliaz_2017_fall,Iliaz,2017,fall,y,1,6,3407.42395348408,5466.69824922238,0.623305658761899,31,244,275,176.345104813625
Bulgaria,Balkans,Iliaz_2017_spring,Iliaz,2017,spring,y,1,6,3859.43801430824,5523.36124758851,0.698748070478509,24,96,120,230.140051982855
Bulgaria,Balkans,Iliaz_2018_fall,Iliaz,2018,fall,y,1,6,3398.80789814814,5404.01977608741,0.628940684708029,25,239,264,216.160791043496
Bulgaria,Balkans,Iliaz_2018_spring,Iliaz,2018,spring,y,1,6,3856.58281039492,6529.98604342739,0.590595873367399,36,75,111,181.388501206316
Turkey,Middle_East,Iste_2014_fall,Iste,2014,fall,y,6,6,3996.90735541254,4361.22159159734,0.916465093888668,14,262,276,311.515827971239
Turkey,Middle_East,Iste_2015_fall,Iste,2015,fall,y,6,6,3947.60591570184,4041.94156856464,0.97666080737127,12,260,272,336.828464047053
Turkey,Middle_East,Iste_2015_spring,Iste,2015,spring,y,6,6,3874.22963592623,4357.86497543226,0.889020118284399,15,104,119,290.524331695484
Turkey,Middle_East,Iste_2016_fall,Iste,2016,fall,y,6,6,4235.01828887692,4582.86682590569,0.924098048177511,14,269,283,327.347630421835
Turkey,Middle_East,Iste_2016_spring,Iste,2016,spring,y,6,6,4092.77234458546,4642.91926667566,0.881508402259144,17,82,99,273.112898039745
Turkey,Middle_East,Iste_2017_fall,Iste,2017,fall,y,6,6,4248.03729355765,4602.4952649757,0.922985695582258,15,267,282,306.833017665047
Turkey,Middle_East,Iste_2017_spring,Iste,2017,spring,y,6,6,4020.77755389944,4350.94147914178,0.924116670650447,17,72,89,255.937734067164
Turkey,Middle_East,Iste_2018_fall,Iste,2018,fall,y,6,6,4004.51092632156,4236.86188161887,0.945159657834179,12,259,271,353.071823468239
Turkey,Middle_East,Iste_2018_spring,Iste,2018,spring,y,6,6,4184.39729550531,4467.35326452273,0.936661384882073,15,75,90,297.823550968182
Israel,Middle_East,J4107_2018_fall,J4107,2018,fall,y,1,1,2648.73863193439,2987.36422291646,0.886647370151777,12,240,252,248.947018576372
Bulgaria,Balkans,Jenny_2015_fall,Jenny,2015,fall,y,6,6,3302.80401185791,5054.65797749329,0.653417902173441,17,257,274,297.332822205488
Bulgaria,Balkans,Jenny_2016_fall,Jenny,2016,fall,y,6,6,3294.47358581683,5424.47429604907,0.607335090188623,24,232,256,226.019762335378
Bulgaria,Balkans,Jenny_2016_spring,Jenny,2016,spring,y,6,6,3480.79761857234,6180.19893098813,0.563217730924368,31,76,107,199.361255838327
Bulgaria,Balkans,Jenny_2017_fall,Jenny,2017,fall,y,6,6,3299.35769433735,5228.37830119239,0.631048004614526,18,255,273,290.465461177355
Bulgaria,Balkans,Jenny_2017_spring,Jenny,2017,spring,y,6,6,3403.67782312316,6026.13242007103,0.564819619925152,32,73,105,188.31663812722
Bulgaria,Balkans,Jenny_2018_fall,Jenny,2018,fall,y,6,6,3286.17302470279,5006.41144495501,0.656392919526077,24,253,277,208.600476873125
Bulgaria,Balkans,Jenny_2018_spring,Jenny,2018,spring,y,6,6,3296.07348085938,5147.60526510453,0.640312011335323,26,63,89,197.984817888636
Greece,Balkans,Lazaros_2012_fall,Lazaros,2012,fall,y,6,6,3060.94104343003,5646.92842285267,0.542054160106342,21,245,266,268.901353469175
Greece,Balkans,Lazaros_2013_spring,Lazaros,2013,spring,y,6,6,3386.80104141562,7224.50312692785,0.468793629390513,90,1,91,80.272256965865
Greece,Balkans,Levkipos_2012_fall,Levkipos,2012,fall,y,1,1,3236.71211945747,5509.04841615929,0.587526533613946,34,254,288,162.030835769391
Spain,West,Lidia_2018_fall,Lidia,2018,fall,y,1,1,3346.28755839984,4724.38063524696,0.708301853037488,77,243,320,61.3555926655449
MiddleEast,Middle_East,Logiya_2014_fall,Logiya,2014,fall,y,2,3,3667.81493454814,4332.44008000678,0.846593343892803,18,235,253,240.691115555932
MiddleEast,Middle_East,Logiya_2014_spring,Logiya,2014,spring,y,2,3,3406.46731429456,4605.85003450547,0.739595794212677,26,140,166,177.14807825021
MiddleEast,Middle_East,Logiya_2015_fall,Logiya,2015,fall,y,2,4,3749.50535624082,4552.35088584976,0.823641553619151,14,251,265,325.16792041784
MiddleEast,Middle_East,Logiya_2015_spring,Logiya,2015,spring,y,2,4,4203.78330196883,10983.1682159439,0.382747784547843,63,107,170,174.336003427681
MiddleEast,Middle_East,Logiya_2016_fall,Logiya,2016,fall,y,2,5,3973.20075899147,4364.33037442318,0.910380383271648,12,259,271,363.694197868598
MiddleEast,Middle_East,Logiya_2016_spring,Logiya,2016,spring,y,2,5,4151.0701716723,6110.71783453786,0.679309744627775,23,107,130,265.683384110342
MiddleEast,Middle_East,Logiya_2017_fall,Logiya,2017,fall,y,2,6,4055.7416141924,4602.97444146794,0.881113216196564,12,258,270,383.581203455662
MiddleEast,Middle_East,Logiya_2017_spring,Logiya,2017,spring,y,2,6,3882.46319154742,5499.48288526365,0.705968774255272,22,96,118,249.976494784711
MiddleEast,Middle_East,Logiya_2018_fall,Logiya,2018,fall,y,2,6,3925.40423365672,4187.07276240902,0.937505617026403,13,249,262,322.082520185309
MiddleEast,Middle_East,Logiya_2018_spring,Logiya,2018,spring,y,2,6,3894.37983143162,5298.25745472095,0.735030312270231,18,81,99,294.347636373386
Dagestan,Middle_East,Malysh_2017_fall,Malysh,2017,fall,y,1,1,2788.68357582026,2986.12311560345,0.933880978064331,16,259,275,186.632694725216
Armenia,Middle_East,Orada_2015_fall,Orada,2015,fall,y,2,2,4301.18934502961,5435.74467332662,0.791278767403423,30,240,270,181.191489110887
Armenia,Middle_East,Orada_2016_fall,Orada,2016,fall,y,2,3,4082.7226016926,4456.78397329441,0.916069216313102,14,259,273,318.341712378172
Armenia,Middle_East,Orada_2016_spring,Orada,2016,spring,y,2,3,4362.41016230015,6449.09797136152,0.67643726016759,83,74,157,77.6999755585725
France,West,Ossau_2018_fall,Ossau,2018,fall,y,6,6,3064.03056078379,3217.80419029017,0.952211626185833,14,244,258,229.843156449298
Greece,Balkans,Paschalis_2013_fall,Paschalis,2013,fall,y,1,1,3395.55488725256,4146.90576174481,0.818816506171069,18,251,269,230.383653430267
Portugal,West,Poiares_2017_fall,Poiares,2017,fall,y,6,6,2597.53043229918,2694.59837020514,0.963976843829766,14,265,279,192.47131215751
France,West,Provence_2017_fall,Provence,2017,fall,y,6,6,2898.18578091007,3141.86515580353,0.922441173376478,17,226,243,184.815597400208
France,West,Provence_2018_fall,Provence,2018,fall,y,6,6,3264.59374617957,3779.20797663536,0.86383013752158,26,200,226,145.354152947514
France,West,Provence_2018_spring,Provence,2018,spring,y,6,6,3294.81729193024,4656.85800185112,0.707519381226685,28,68,96,166.316357208969
Spain,West,Quel_2016_fall,Quel,2016,fall,y,1,1,3369.72704999306,4212.90463542139,0.799858373641065,54,246,300,78.0167525078035
Portugal,West,Rupis_2016_fall,Rupis,2016,fall,y,3,3,2792.56755578758,2994.5870295202,0.932538452968257,20,264,284,149.72935147601
Portugal,West,Rupis_2017_fall,Rupis,2017,fall,y,3,4,2922.30146717152,3156.0707995213,0.925930263546292,15,257,272,210.404719968087
Portugal,West,Rupis_2017_spring,Rupis,2017,spring,y,3,4,3029.08262791744,3700.37932721927,0.818587058260783,16,92,108,231.273707951204
Portugal,West,Rupis_2018_fall,Rupis,2018,fall,y,3,5,3030.03913153467,3263.82699550475,0.928370019522459,21,265,286,155.420333119274
Portugal,West,Rupis_2018_spring,Rupis,2018,spring,y,3,5,2536.99719878665,2819.81012635143,0.899704974841439,13,78,91,216.908471257802
Bulgaria,Balkans,Sanie_2013_fall,Sanie,2013,fall,y,1,1,3404.04987876109,5281.1582905225,0.644565016138592,21,261,282,251.483728120119
Bulgaria,Balkans,Sanie_2015_spring,Sanie,2015,spring,y,1,3,3676.06038775946,8279.38030725499,0.444001875905886,45,124,169,183.986229050111
Bulgaria,Balkans,Sanie_2016_fall,Sanie,2016,fall,y,1,4,4424.18778216637,6392.4686184398,0.692093781955269,35,234,269,182.641960526851
Bulgaria,Balkans,Sanie_2016_spring,Sanie,2016,spring,y,1,4,3865.67641103224,6537.83050062307,0.591278163400509,30,104,134,217.927683354102
Turkey,Middle_East,Serhat_2014_fall,Serhat,2014,fall,y,6,6,4071.36747352259,4611.32499807236,0.882906209218503,18,263,281,256.184722115131
