id.yr.season,study,tag,id,N_locs,start_mig,end_mig
Tuzluca_2013_fall,buechley-mideast,209,Tuzluca,3979,2013-08-02T23:49:57.162916Z,2013-10-21T20:14:31.821007Z
Tuzluca_2013_spring,buechley-mideast,209,Tuzluca,205,,
Tuzluca_2014_fall,buechley-mideast,209,Tuzluca,4242,2014-08-01T00:00:00Z,2014-10-11T22:00:00Z
Tuzluca_2014_spring,buechley-mideast,209,Tuzluca,3960,2014-03-28T06:09:21.771617Z,2014-05-12T06:08:41.072492Z
Tuzluca_2015_fall,buechley-mideast,209,Tuzluca,4354,2015-08-28T00:00:00Z,2015-10-02T20:26:16.735965Z
Tuzluca_2015_spring,buechley-mideast,209,Tuzluca,4212,2015-01-28T00:00:00Z,2015-04-14T05:25:48.625890Z
Tuzluca_2016_fall,buechley-mideast,209,Tuzluca,2274,2016-09-09T00:00:00Z,2016-10-11T15:32:12.804851Z
Tuzluca_2016_spring,buechley-mideast,209,Tuzluca,4175,2016-03-03T14:37:21.808191Z,2016-04-17T22:40:21.319717Z
Volen_2012_fall,oppel-balkans,118148,Volen,1514,2012-09-05T07:00:00Z,2012-12-31T22:00:00Z
Volen_2013_fall,oppel-balkans,118148,Volen,2243,,
Volen_2013_spring,oppel-balkans,118148,Volen,2217,,
Volen_2014_fall,oppel-balkans,118148,Volen,1007,2014-09-14T19:09:20.651156Z,2014-10-09T01:38:31.349521Z
Volen_2014_spring,oppel-balkans,118148,Volen,2143,2014-04-26T22:15:02.605505Z,2014-07-20T08:11:29.125968Z
Zikmund_2018_fall,oppel-balkans,171349,Zikmund,558,,
Zuri_2017_fall,migra-spain,5533,Zuri,2398,2017-09-08T06:00:00Z,2017-09-22T15:49:41.090974Z
