ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
Castor_2015_spring,5094972.24937222,7646594.00418353,0.666306102636639,2337712128778.05,4.94606727127759,0.000724860878343258,8.53666067525916e-07,2015-03-07 03:00:00,2015-04-05 23:00:00,29.8333333333333,66,95
Dobromir_2012_fall,3688111.33428123,9632931.75395892,0.382864887708303,1141782150852.58,5.25837203991147,0.000970626330127159,8.54876250904247e-07,2012-09-08 05:00:00,2012-10-31 22:00:00,53.7083333333333,252,305
Dobromir_2014_fall,4546477.91461653,11343524.7382859,0.400799400495999,2545662956589.52,4.43547381562789,0.000758306042919547,9.58454749507568e-07,2014-07-30 05:00:00,2014-10-02 22:00:00,64.7083333333333,211,275
Dobromir_2014_spring,3695987.28028507,10379210.0957986,0.356095237129959,1896207278021.17,5.15907222519365,0.000507725036078024,8.99279398562461e-07,2014-04-18 05:00:00,2014-06-03 23:00:00,46.75,108,154
Dobromir_2015_spring,4180586.84167311,5793569.96255475,0.721590809931226,1760148127054.52,3.36513690215513,0.00128102076676032,6.92602657853237e-07,2015-04-30 01:00:00,2015-05-15 23:00:00,15.9166666666667,120,135
Dobromir_2016_fall,3718265.31548845,7228373.11952897,0.51439864185245,1769208047644.9,4.37652235548547,0.00193792891473376,8.87683542751632e-07,2016-08-12 03:00:00,2016-09-25 19:00:00,44.6666666666667,225,269
Dobromir_2016_spring,4053555.75611407,6805152.04837281,0.595659836444554,1727709812292.61,3.73482791433341,0.00115168261408261,8.82992914207413e-07,2016-05-01 03:00:00,2016-05-30 23:00:00,29.8333333333333,122,151
Douro_2017_fall,2650868.20286529,3398934.48689076,0.779911532007851,848401665502.569,3.46489724181719,0.000941801608551968,7.17502633766702e-07,2017-08-28 07:00:00,2017-09-09 20:00:00,12.5416666666667,240,252
Douro_2018_fall,2649372.71061102,3626119.99047647,0.730635698093073,1033196786921.8,4.01024534950065,0.0025224099075926,5.68178720034075e-07,2018-08-29 08:00:00,2018-09-17 20:00:00,19.5,241,260
Douro_2018_spring,2636005.71641486,4289487.87396696,0.614526907142659,889716710124.274,4.34969661913474,0.000776950451240445,5.40069523619694e-07,2018-02-03 06:00:00,2018-02-25 19:00:00,22.5416666666667,34,56
Ekhi_2018_fall,3024728.17480237,3558124.83293408,0.850090515882248,843105136638.489,4.21978586120398,0.000369373965090493,6.6871208443302e-07,2018-09-01 06:00:00,2018-09-16 23:00:00,15.7083333333333,244,259
Endoia_2017_fall,1917003.76838897,2152093.48887938,0.890762310417645,173456629119.382,3.76382516793564,0.000497793723750351,4.92903474106753e-07,2017-09-03 06:00:00,2017-09-11 17:00:00,8.45833333333333,246,254
Faia_2017_fall,2639074.86421179,3295461.96707769,0.800820913904233,555522237496.25,4.14430977012206,0.00153918053704207,3.88593462751339e-07,2017-08-23 08:00:00,2017-09-05 20:00:00,13.5,235,248
Faia_2018_spring,2700576.41285851,3319550.63139222,0.813536744196575,618891069936.27,4.29023624952864,0.000456475129377456,7.11757045518819e-07,2018-02-25 07:00:00,2018-03-17 18:00:00,20.4583333333333,56,76
Gardon_2016_fall,3152084.70473812,3894332.63377384,0.809403048265951,1006826823060.71,4.15227918783096,0.00202334659559058,6.27136305449574e-07,2016-09-09 01:00:00,2016-09-23 23:00:00,14.9166666666667,253,267
Gardon_2017_fall,3330384.59508325,3908327.92251625,0.852125169921538,1322450461797.78,4.1596193066299,0.00047491638439333,6.26930089869841e-07,2017-09-08 05:00:00,2017-09-24 23:00:00,16.75,251,267
Gardon_2017_spring,3334056.45153301,4980836.07658858,0.669376867711844,1387319045386.73,3.81737351761609,0.00124342790443531,7.99213993702729e-07,2017-02-28 00:00:00,2017-03-31 17:00:00,31.7083333333333,59,90
Gardon_2018_fall,3391305.68686202,4108110.21776803,0.825514776160153,1262976920671.9,3.83870845575856,0.000933966857902302,7.81734752895216e-07,2018-09-09 05:00:00,2018-09-26 23:00:00,17.75,252,269
Gardon_2018_spring,3376792.85073791,4899069.78792739,0.68927224900107,1279839520453.63,3.85529693401936,0.000343902834010016,7.97642757539064e-07,2018-02-28 00:00:00,2018-03-23 23:00:00,23.9583333333333,59,82
Gurman_2017_fall,4200481.55647278,5506514.48002812,0.762820396043221,1332894304292.07,4.28526744072001,0.000872925302070451,4.70485472534139e-07,2017-09-24 06:00:00,2017-10-19 16:00:00,25.4166666666667,267,292
H36_2018_fall,2635334.10708298,5044973.53194288,0.522368272181615,624694332127.312,5.53992990714445,0.00131288197529967,6.91269887637778e-07,2018-08-29 06:00:00,2018-09-22 10:00:00,24.1666666666667,241,265
Haydi_2014_fall,5476570.33313033,7562333.37856781,0.724190545295361,2491355307995.98,4.17504879209746,0.000227321212749411,7.84084961762225e-07,2014-09-19 05:00:00,2014-10-29 20:00:00,40.625,262,302
Haydi_2015_fall,5412934.96188634,7027792.64400171,0.770218365293736,2713122614004.2,3.91112321580043,0.00105537355823924,8.40465118917362e-07,2015-09-20 07:00:00,2015-10-14 21:00:00,24.5833333333333,263,287
Haydi_2015_spring,5332338.31689863,8421522.07786141,0.633179877413887,2717705782766.86,4.01572436368055,0.00108451446187959,8.12001544467873e-07,2015-04-11 05:00:00,2015-05-12 21:00:00,31.6666666666667,101,132
Huebra_2017_fall,2783682.70130612,3445526.72704415,0.807912090612105,918539477491.912,4.1109510082064,0.0017297554995044,6.51564831353894e-07,2017-09-20 00:00:00,2017-10-06 21:00:00,16.875,263,279
Huebra_2018_fall,2735007.8412147,3446354.82252554,0.793594386549684,851773995329.824,4.39056942834915,0.000274943685989996,6.0623751466308e-07,2018-09-26 06:00:00,2018-10-16 21:00:00,20.625,269,289
Huebra_2018_spring,2612122.9370196,3633016.76523264,0.718995563691635,795448915598.504,3.21543169394812,0.000986382643560224,6.65338256638678e-07,2018-02-09 06:00:00,2018-02-26 20:00:00,17.5833333333333,40,57
Ibrahim_2013_fall,777542.436595576,1460872.16006726,0.532245365371176,55902640187.2423,4.62803117030541,0.0032406919856229,1.26673995463832e-06,2013-09-06 07:00:00,2013-09-15 23:00:00,9.66666666666667,249,258
Igdir_2012_fall,5095082.29965021,6463129.31135158,0.788330552307133,2656577071953.71,4.9957508466111,0.00147750318165925,6.4820864185242e-07,2012-09-20 00:00:00,2012-10-11 18:00:00,21.75,264,285
Igdir_2013_fall,5051523.34311608,6008135.45479508,0.840780535179923,2364700555465.09,4.97169385816318,0.000170322841169938,5.96613194393829e-07,2013-09-25 00:00:00,2013-10-13 20:00:00,18.8333333333333,268,286
Igdir_2013_spring,5108768.58231231,5972348.64185081,0.855403608977709,2172299741751.19,4.56339638364362,0.00138277540112503,5.52496490753429e-07,2013-03-16 08:00:00,2013-04-03 20:00:00,18.5,75,93
Igdir_2014_fall,5100434.70713776,7310526.05888207,0.697683677762271,2429050577362.75,4.80558868333564,0.000246237402486409,5.96350347171876e-07,2014-10-06 07:00:00,2014-11-03 19:00:00,28.5,279,307
Igdir_2014_spring,5031684.07731971,5900966.63229666,0.852688108721159,2153919811946,4.859856208132,0.00107681601361836,6.84551963853606e-07,2014-03-03 01:00:00,2014-03-22 19:00:00,19.75,62,81
Ikaros_2012_fall,707317.489117679,1492701.69188356,0.473850530862032,47605330382.9102,4.9541294330541,0.00179450169489093,8.99024143506412e-07,2012-08-28 08:00:00,2012-09-04 21:00:00,7.54166666666667,241,248
Iliaz_2012_fall,3382554.25016693,6312967.07954622,0.535810532123046,1612686931820.5,3.72897427225454,0.000644202602734951,7.62726471024689e-07,2012-09-19 03:00:00,2012-10-16 22:00:00,27.7916666666667,263,290
Iliaz_2014_spring,2115739.85815038,15160179.420766,0.139559024957996,433268754327.265,10.167143579442,0.00138043215270918,9.63996082514905e-07,2014-03-29 05:00:00,2014-06-17 23:00:00,80.75,88,168
Iliaz_2015_fall,454351.285836973,7886701.82739097,0.0576097963104151,15938416199.781,23.2225178323489,0.000983655908825338,1.03723289236224e-06,2015-07-01 00:00:00,2015-11-02 23:00:00,124.958333333333,182,306
Iliaz_2015_spring,2741528.40107104,6729689.98819663,0.407378111901064,1046003679073.89,4.43583106790315,0.000228509093064471,7.94929802075182e-07,2015-04-09 00:00:00,2015-05-12 23:00:00,33.9583333333333,99,132
Iliaz_2016_fall,3344082.52149611,10678775.8961767,0.313152233365379,2308277312246.42,4.9747683398983,0.000919059204921842,9.96253265797397e-07,2016-08-26 04:00:00,2016-10-17 23:00:00,52.7916666666667,239,291
Iliaz_2016_spring,3582300.24392551,9348990.42690171,0.383175089538807,1622115896674.76,4.71906668307706,0.000666113049573022,9.71538763341252e-07,2016-03-17 05:00:00,2016-05-09 23:00:00,53.75,77,130
Iliaz_2017_fall,3428408.09998954,7105396.21081064,0.482507660132073,1398984731382.19,3.79850333422268,0.000226087658567142,7.78014280658395e-07,2017-09-01 05:00:00,2017-10-02 22:00:00,31.7083333333333,244,275
Iliaz_2017_spring,3884483.17054075,6713023.14831606,0.57864885681426,1674131634042.07,3.93007858443247,0.00139336537642154,8.91905316570512e-07,2017-04-06 02:00:00,2017-04-30 23:00:00,24.875,96,120
Iliaz_2018_fall,3350100.22751312,6703031.88911088,0.499788794523771,1863177910630.21,3.60836850327302,0.00107685527388884,7.71805836570199e-07,2018-08-27 05:00:00,2018-09-21 23:00:00,25.75,239,264
Iliaz_2018_spring,3853674.7617696,8240004.86160184,0.467678700012375,2197201521045.33,3.98582582731429,0.00168512868961356,8.45231780422213e-07,2018-03-16 05:00:00,2018-04-21 22:00:00,36.7083333333333,75,111
Ilina_2013_fall,815080.896159347,2443049.01271425,0.333632641800249,101092399190.75,4.88820046530702,0.000278937428194155,9.76410907725258e-07,2013-09-18 00:00:00,2013-10-03 22:00:00,15.9166666666667,261,276
Iste_2014_fall,4220193.01253432,5026573.44965971,0.839576513662606,1884637861955.09,4.07126841462139,0.000132464787643219,4.25745547772222e-07,2014-09-19 05:00:00,2014-10-03 21:00:00,14.6666666666667,262,276
Iste_2015_fall,4227155.25208312,4903166.71418783,0.862127579682616,1752670055183.43,4.20322178198287,0.00124140827200323,3.41692811358548e-07,2015-09-17 05:00:00,2015-09-29 21:00:00,12.6666666666667,260,272
Iste_2015_spring,4178825.44257642,5651400.4142809,0.739431846311343,1781772603990.92,4.66835274986352,0.00058140936695618,6.39047541385191e-07,2015-04-14 07:00:00,2015-04-29 21:00:00,15.5833333333333,104,119
Iste_2016_fall,4268861.53427449,4939116.44828628,0.864296596156516,1903863067639.1,3.95780359970631,0.000160630294906278,4.53079495338726e-07,2016-09-25 05:00:00,2016-10-09 21:00:00,14.6666666666667,269,283
Iste_2016_spring,4178475.90005383,5403705.277714,0.773261250439902,1900503798659.64,4.23867599002769,0.000675876897656581,4.92616047392832e-07,2016-03-22 04:00:00,2016-04-08 19:00:00,17.625,82,99
Iste_2017_fall,4297296.42255338,5164456.02670663,0.832090814662964,1930706787700.57,4.67755688161212,0.000980347053720222,5.65888339503953e-07,2017-09-24 05:00:00,2017-10-09 17:00:00,15.5,267,282
Iste_2017_spring,4181971.65000472,4923813.26909561,0.849335955986174,1351479553271.89,4.83767455830755,0.000198396173650517,7.34852997067199e-07,2017-03-13 05:00:00,2017-03-30 21:00:00,17.6666666666667,72,89
Iste_2018_fall,4306414.6836764,4943763.59534551,0.871080220690738,1680495131508.42,4.37494717697708,0.00102850796235501,5.52826156447013e-07,2018-09-16 05:00:00,2018-09-28 21:00:00,12.6666666666667,259,271
Iste_2018_spring,4185794.04294654,4969451.10755692,0.842305106208069,1684153641634.88,4.77904934879447,0.00113183054816791,5.03710284650295e-07,2018-03-16 05:00:00,2018-03-31 21:00:00,15.6666666666667,75,90
J4107_2018_fall,2851137.04277202,3780026.58534225,0.75426375407724,778990178935.346,4.26175147768524,0.000618821642513661,5.14500591601667e-07,2018-08-28 06:00:00,2018-09-09 20:00:00,12.5833333333333,240,252
Jenny_2015_fall,3332173.09850543,6435569.24143345,0.517774414895928,1651836529632.52,3.57447740441094,0.00217626449071379,7.52373335295865e-07,2015-09-14 05:00:00,2015-10-01 23:00:00,17.75,257,274
Jenny_2016_fall,3355176.21642389,6322840.2696898,0.53064383620567,1868703285366.42,3.25645546351326,0.000495352212526173,7.64744942261653e-07,2016-08-19 05:00:00,2016-09-12 22:00:00,24.7083333333333,232,256
Jenny_2016_spring,3531664.57979303,7552297.09522783,0.46762786676184,1645421586026.33,3.63642228765846,0.000304060318965499,7.22832117664148e-07,2016-03-16 05:00:00,2016-04-16 23:00:00,31.75,76,107
Jenny_2017_fall,3355890.32943142,6076843.43157101,0.55224235529857,1866869628199.51,3.0707360583981,0.000838394276131481,8.1839692692722e-07,2017-09-12 05:00:00,2017-09-30 22:00:00,18.7083333333333,255,273
Jenny_2017_spring,3409901.82309422,7170610.14131523,0.475538588194502,1600459830107.11,3.51320666120328,0.000229588503488599,6.83619996839777e-07,2017-03-14 02:00:00,2017-04-15 23:00:00,32.875,73,105
Jenny_2018_fall,3371185.98344721,5898001.64530895,0.571581051715801,2121769994147.04,3.19637376287876,0.0013840460152071,8.31963697751592e-07,2018-09-10 05:00:00,2018-10-04 22:00:00,24.7083333333333,253,277
Jenny_2018_spring,3373865.29156309,6512248.60229288,0.518079928701615,1663129294141.72,3.45733684373477,0.00101491750824938,8.31184790134709e-07,2018-03-04 05:00:00,2018-03-30 23:00:00,26.75,63,89
Kapchug_2017_fall,684680.237453427,936551.35212692,0.731065345107355,45660663831.4727,3.13488810579352,0.00170427961783382,5.73348747612926e-07,2017-09-20 06:00:00,2017-09-26 13:00:00,6.29166666666667,263,269
Katerina_2013_fall,1039471.03625239,1519823.00089843,0.683942166711467,90557196528.2255,5.72962250876593,0.00177011338733126,1.14424470238357e-06,2013-09-13 05:00:00,2013-09-18 15:00:00,5.41666666666667,256,261
Lazaros_2012_fall,3109205.58589722,7061513.61979491,0.440302993565213,1733134390032.22,3.53377627712474,0.000287310643507437,7.19067984633991e-07,2012-09-01 03:00:00,2012-09-22 22:00:00,21.7916666666667,245,266
Lazaros_2013_spring,3361494.84451036,7499172.83413566,0.448248749409948,1569081468198.37,3.79768756963224,0.000555697167004765,8.0137446524449e-07,2013-03-08 00:00:00,2013-03-31 15:00:00,23.625,67,90
